packets_received,wrapped_seq
10000,9971
20000,19912
30000,29999
40000,39999
50000,49999
60000,59930
70000,4421
80000,14435
90000,24463
100000,34463
110000,44463
120000,54364
130000,64372
140000,8927
150000,18912
160000,28927
170000,38927
180000,48927
190000,58840
200000,3383
210000,13303
220000,23391
230000,33372
240000,43391
250000,53348
260000,63379
270000,7855
280000,17855
290000,27856
300000,37855
310000,47855
320000,57855
330000,2319
340000,12320
350000,22319
360000,32300
370000,42315
380000,52228
390000,62222
400000,6782
410000,16715
420000,26783
430000,36783
440000,46783
450000,56783
460000,1244
470000,11183
480000,21247
490000,31247
500000,41247
510000,51150
520000,61196
530000,5652
540000,15711
550000,25621
560000,35694
570000,45652
580000,55711
590000,175
600000,10111
610000,20175
620000,30175
630000,40105
640000,50084
650000,60151
660000,4550
670000,14587
680000,24639
690000,34542
700000,44639
710000,54639
720000,64551
730000,9103
740000,19060
750000,29059
760000,39021
770000,49103
780000,59058
790000,3567
800000,13435
810000,23567
820000,33470
830000,43385
840000,53542
850000,63490
860000,8004
870000,18010
880000,27975
890000,38006
900000,48031
910000,58031
920000,2465
930000,12495
940000,22406
950000,32487
960000,42495
970000,52495
980000,62401
990000,6955
1000000,16959
1010000,26959
1020000,36899
1030000,46959
1040000,56922
1050000,1423
1060000,11355
1070000,21361
1080000,31361
1090000,41423
1100000,51324
1110000,61415
1120000,5793
1130000,15887
1140000,25859
1150000,35807
1160000,45887
1170000,55887
1180000,351
1190000,10351
1200000,20333
1210000,30351
1220000,40259
1230000,50302
1240000,60351
1250000,4809
1260000,14815
1270000,24815
1280000,34815
1290000,44725
1300000,54815
1310000,64800
1320000,9221
1330000,19279
1340000,29269
1350000,39245
1360000,49180
1370000,59204
1380000,3743
1390000,13715
1400000,23743
1410000,33679
1420000,43743
1430000,53743
1440000,63690
1450000,8162
1460000,18135
1470000,28142
1480000,38043
1490000,48186
1500000,58118
1510000,2617
1520000,12622
1530000,22609
1540000,32627
1550000,42660
1560000,52671
1570000,62671
1580000,7069
1590000,17043
1600000,27062
1610000,37135
1620000,47105
1630000,57084
1640000,1599
1650000,11599
1660000,21530
1670000,31545
1680000,41537
1690000,51599
1700000,61592
1710000,6030
1720000,16014
1730000,26064
1740000,35981
1750000,46044
1760000,56008
1770000,491
1780000,10481
1790000,20433
1800000,30527
1810000,40444
1820000,50446
1830000,60508
1840000,4910
1850000,14954
1860000,24991
1870000,34991
1880000,44991
1890000,54927
1900000,64991
1910000,9446
1920000,19455
1930000,29422
1940000,39455
1950000,49451
1960000,59399
1970000,3906
1980000,13919
1990000,23919
2000000,33833
2010000,43919
2020000,53919
2030000,63919
2040000,8359
2050000,18297
2060000,28383
2070000,38333
2080000,48292
2090000,58383
2100000,2752
2110000,12847
2120000,22783
2130000,32763
2140000,42757
2150000,52847
2160000,62804
2170000,7285
2180000,17226
2190000,27243
2200000,37253
2210000,47311
2220000,57311
2230000,1724
2240000,11768
2250000,21734
2260000,31708
2270000,41723
2280000,51746
2290000,61775
2300000,6239
2310000,16198
2320000,26180
2330000,36175
2340000,46210
2350000,56157
2360000,633
2370000,10703
2380000,20687
2390000,30628
2400000,40621
2410000,50703
2420000,60703
2430000,5167
2440000,15167
2450000,25124
2460000,35156
2470000,45101
2480000,55102
2490000,65141
2500000,9548
2510000,19631
2520000,29566
2530000,39632
2540000,49541
2550000,59631
2560000,4003
2570000,14039
2580000,24083
2590000,34024
2600000,44095
2610000,54095
2620000,64095
2630000,8497
2640000,18559
2650000,28499
2660000,38559
2670000,48510
2680000,58559
2690000,3023
2700000,12924
2710000,22997
2720000,33019
2730000,42965
2740000,53023
2750000,62952
2760000,7466
2770000,17487
2780000,27445
2790000,37487
2800000,47487
2810000,57396
2820000,1895
2830000,11882
2840000,21917
2850000,31919
2860000,41951
2870000,51951
2880000,61892
2890000,6415
2900000,16415
2910000,26410
2920000,36337
2930000,46393
2940000,56415
2950000,826
2960000,10837
2970000,20879
2980000,30815
2990000,40879
3000000,50875
3010000,60879
3020000,5329
3030000,15261
3040000,25259
3050000,35343
3060000,45307
3070000,55276
3080000,65343
3090000,9807
3100000,19788
3110000,29694
3120000,39774
3130000,49799
3140000,59709
3150000,4257
3160000,14200
3170000,24271
3180000,34261
3190000,44196
3200000,54188
3210000,64271
3220000,8735
3230000,18735
3240000,28714
3250000,38682
3260000,48735
3270000,58702
3280000,3192
3290000,13173
3300000,23199
3310000,33199
3320000,43199
3330000,53199
3340000,63119
3350000,7608
3360000,17597
3370000,27663
3380000,37609
3390000,47663
3400000,57626
3410000,2044
3420000,12127
3430000,22059
3440000,32119
3450000,42117
3460000,52127
3470000,62067
3480000,6591
3490000,16589
3500000,26518
3510000,36520
3520000,46495
3530000,56591
3540000,1055
3550000,11055
3560000,20992
3570000,30983
3580000,41007
3590000,51055
3600000,60956
3610000,5423
3620000,15391
3630000,25519
3640000,35519
3650000,45432
3660000,55485
3670000,65519
3680000,9983
3690000,19967
3700000,29983
3710000,39936
3720000,49983
3730000,59834
3740000,4414
3750000,14414
3760000,24391
3770000,34447
3780000,44412
3790000,54367
3800000,64399
3810000,8911
3820000,18829
3830000,28911
3840000,38839
3850000,48890
3860000,58831
3870000,3300
3880000,13351
3890000,23375
3900000,33294
3910000,43335
3920000,53375
3930000,63375
3940000,7839
3950000,17759
3960000,27839
3970000,37837
3980000,47802
3990000,57839
4000000,2216
4010000,12303
4020000,22303
4030000,32228
4040000,42225
4050000,52303
4060000,62303
4070000,6767
4080000,16767
4090000,26670
4100000,36765
4110000,46767
4120000,56767
4130000,1145
4140000,11166
4150000,21155
4160000,31231
4170000,41231
4180000,51201
4190000,61149
4200000,5692
4210000,15619
4220000,25615
4230000,35686
4240000,45695
4250000,55596
4260000,92
4270000,10063
4280000,20159
4290000,30119
4300000,40099
4310000,50126
4320000,60159
4330000,4572
4340000,14623
4350000,24549
4360000,34543
4370000,44558
4380000,54597
4390000,64615
4400000,9000
4410000,19087
4420000,29087
4430000,39033
4440000,49062
4450000,59046
4460000,3486
4470000,13464
4480000,23551
4490000,33547
4500000,43486
4510000,53551
4520000,63544
4530000,8015
4540000,17950
4550000,28015
4560000,38015
4570000,47966
4580000,57962
4590000,2479
4600000,12438
4610000,22479
4620000,32435
4630000,42445
4640000,52425
4650000,62479
4660000,6943
4670000,16914
4680000,26875
4690000,36943
4700000,46943
4710000,56923
4720000,1335
4730000,11407
4740000,21315
4750000,31313
4760000,41398
4770000,51342
4780000,61407
4790000,5871
4800000,15871
4810000,25841
4820000,35871
4830000,45785
4840000,55871
4850000,329
4860000,10264
4870000,20268
4880000,30335
4890000,40313
